Address,Lat,Long,Provider,bank_name,institution,transit,routing
"101 McNabb Street, Markham, ON L3R 4H8",43.8321285805815,-79.3261398744426,arcgis,AMEX BANK OF CANADA,303,12,30300012
"101 McNabb Street, Markham, ON L3R 4H8",43.8321285805815,-79.3261398744426,arcgis,AMEX BANK OF CANADA,303,22,30300022
"101 McNabb Street, 101 McNabb Street, Markham, ON L3R 4H8",43.8321285805815,-79.3261398744426,arcgis,AMEX BANK OF CANADA,303,32,30300032
"Main Branch, 200 Front St. W., Suite 2700, Toronto, ON M5V 3L2",43.6449103074357,-79.3855368063718,arcgis,BANK OF AMERICA NATIONAL ASSOCIATION,241,1312,24101312
"National Association, Canada Branch, 181 Bay Street, Suite 400, Toronto, ON M5J 2V8",43.6472230002504,-79.3793737606049,arcgis,BANK OF AMERICA NATIONAL ASSOCIATION,241,56792,24156792
"Banking Services, 245 Sparks Street, Ottawa, ON K1A 0G9",45.420763681373,-75.7024388647184,arcgis,BANK OF CANADA,177,0,17700000
"Banking Services, 245 Sparks Street, Ottawa, ON K1A 0G9",45.420763681373,-75.7024388647184,arcgis,BANK OF CANADA,177,6,17700006
"50 Minthorn BLVD-Suite 600, Markham, ON L3T 7X8",43.8440888020415,-79.3795809612514,arcgis,BANK OF CHINA (CANADA),308,12,30800012
"Toronto Downtown Branch, 396 Dundas Street West, Toronto, ON M5T 1G7",43.6538550973189,-79.3948807005747,arcgis,BANK OF CHINA (CANADA),308,22,30800022
"Vancovuer Branch, 1025 Dunsmuir Street, 1025 Dunsmuir Street PO Box 49277, Vancouver, BC V7X 1L3",49.2864419795975,-123.120488199927,arcgis,BANK OF CHINA (CANADA),308,30,30800030
"Richmond Branch, 8060 Westminster Highway, Richmond, BC V6X 1A6",49.1698530172789,-123.13549800922,arcgis,BANK OF CHINA (CANADA),308,50,30800050
"GTA Main Branch, 1 Bank of China Way, Markham, ON L3T 0E2",43.8429826003699,-79.3794591721983,arcgis,BANK OF CHINA (CANADA),308,62,30800062
"Mississauga Branch, 1170 Burnhamthorpe Rd W, Unit 33, Mississauga, ON L5C 4E6",43.5685965156036,-79.6631012669127,arcgis,BANK OF CHINA (CANADA),308,72,30800072
"Toronto Markham Branch, 3265 Highway 7 East Unit 3, Markham, ON L3R 3P9",43.8504069130171,-79.349081730167,arcgis,BANK OF CHINA (CANADA),308,82,30800082
"Toronto North York Br-Peanut Plaza, 3040 Don Mills Rd E-Unit 28, Toronto, ON M2J 3C1",43.7861301208782,-79.3519159869067,arcgis,BANK OF CHINA (CANADA),308,92,30800092
"Calgary Branch, 505 Third Street SW, Calgary, AB T2P 1C4",51.0483715874368,-114.070414739694,arcgis,BANK OF CHINA (CANADA),308,109,30800109
"MONTREAL BRANCH, 1000 Sherbrooke St W-Suite 920, Montreal, QC H3A 0A6",45.5027254091123,-73.5751317039016,arcgis,BANK OF CHINA (CANADA),308,121,30800121
"Montreal (Succ. Principale), 119 rue Saint-Jacques, Montreal, QC H2Y 1L6",45.5048384869028,-73.5580981679066,arcgis,BANK OF MONTREAL,1,11,100011
"First Canadian Place, 100 King St. West, P.O. Box 3, Toronto, ON M5X 1A3",43.6493651,-79.3819275,arcgis,BANK OF MONTREAL,1,22,100022
"PORTAGE & MAIN, 201 PORTAGE AVENUE, P.O. Box 844, Winnipeg, MB R3B 3K6",49.8956195916495,-97.139450608352,arcgis,BANK OF MONTREAL,1,37,100037
"First Bank Tower, 595 Burrard St., P.O. Box 49500, Bentall Centre Stn., Vancouver, BC V7X 1L7",49.286130298528,-123.11972963769,arcgis,BANK OF MONTREAL,1,40,100040
"Capital Centre, 269 Laurier Avenue West, Ottawa, ON K1P 5J9",45.4192717864268,-75.6986120230046,arcgis,BANK OF MONTREAL,1,56,100056
"Hamilton Main Office, 50 Bay Street South, Hamilton, ON L8P 4V9",43.2563627014199,-79.8748385346843,arcgis,BANK OF MONTREAL,1,62,100062
"Haute Ville, 1181 Av Turnbull, Quebec, QC G1R 0B5",46.8043858962154,-71.2208783120014,arcgis,BANK OF MONTREAL,1,75,100075
"270 Dundas St., London, ON N6A 1H3",42.9851223868249,-81.2457375234206,arcgis,BANK OF MONTREAL,1,82,100082
"Halifax Main Branch, 1695 Grafton St, P.O. Box 100, Halifax, NS B3J 0E7",44.6468382955747,-63.5751094126958,arcgis,BANK OF MONTREAL,1,93,100093
"EIGHTH AVENUE PLACE BRANCH, 595 8TH AVENUE, SW, Box 2575, Station M, Calgary, AB T2P 1G1",51.0453236340756,-114.072736275416,arcgis,BANK OF MONTREAL,1,109,100109
"Saint John Main Branch, 2 King St, Saint John, NB E2L 1G2",45.2727209149267,-66.0621745633251,arcgis,BANK OF MONTREAL,1,114,100114
"1225 Douglas Street, Victoria, BC V8W 2E6",48.4259664027141,-123.36460610077,arcgis,BANK OF MONTREAL,1,120,100120
"Main Office, 1800 Scarth St, Regina, SK S4P 2G3",50.4501086801524,-104.611226201342,arcgis,BANK OF MONTREAL,1,138,100138
"Main Office Edmonton, 10185 - 101 Street NW, P.O. Box 220, Edmonton, AB T5J 0H4",53.5424779977382,-113.493476441825,arcgis,BANK OF MONTREAL,1,149,100149
"57 Market Street, Brantford, ON N3T 2Z6",43.1401433810313,-80.2632099111859,arcgis,BANK OF MONTREAL,1,152,100152
"297 King St. E., Kingston, ON K7L 3B3",44.2297342159924,-76.4815656824417,arcgis,BANK OF MONTREAL,1,162,100162
"PETERBOROUGH MAIN OFFICE, 130 SIMCOE STREET, Peterborough, ON K9H 2H5",44.3049042971362,-78.3192251987379,arcgis,BANK OF MONTREAL,1,172,100172
"Windsor Main Office, 200 Ouellette Ave., P.O. Box 248, Windsor, ON N9A 1A5",42.3180997103071,-83.0390597894038,arcgis,BANK OF MONTREAL,1,182,100182
"328 Prince St., Sydney, NS B1P 5K6",46.1392931948133,-60.1843668055648,arcgis,BANK OF MONTREAL,1,193,100193
"Les Galeries de Hull, 320 Saint-Joseph Boulevard, Gatineau, QC J8Y 3Y8",45.4416609813653,-75.7318766954038,arcgis,BANK OF MONTREAL,1,206,100206
"37 Union Street, Glace Bay, NS B1A 2P6",46.1960030143131,-59.9576100054931,arcgis,BANK OF MONTREAL,1,213,100213
"Harbour Crossing, 859 Fort Williams Rd, P.O. Box 27002, Thunder Bay, ON P7B 0A9",48.4059800060494,-89.2402469875478,arcgis,BANK OF MONTREAL,1,227,100227
"2959 King Ouest, Sherbrooke, QC J1L 1C7",45.3969499819898,-71.9452559631063,arcgis,BANK OF MONTREAL,1,231,100231
"KING NEAR WATER, 345 KING STREET WEST, Kitchener, ON N2G 0C5",43.4517889113407,-80.4956171198262,arcgis,BANK OF MONTREAL,1,242,100242
"78 St. George's Sq., Guelph, ON N1H 6K9",43.5562149827231,-80.259682847725,arcgis,BANK OF MONTREAL,1,252,100252
"Trois-Rivieres, 5885 Boul. Jean-XXIII, Trois-Rivieres, QC G8Z 4N8",46.3305639924158,-72.5948419759957,arcgis,BANK OF MONTREAL,1,261,100261
"739-743 Talbot St., St Thomas, ON N5P 1E3",42.7790579911224,-81.1867900291396,arcgis,BANK OF MONTREAL,1,272,100272
"1000 Rosser Ave., Brandon, MB R7A 0L6",49.8482399200314,-99.9519104603454,arcgis,BANK OF MONTREAL,1,287,100287
"Moose Jaw, 39 Manitoba Street E, Moose Jaw, SK S6H 0A1",50.3891924863631,-105.533185762136,arcgis,BANK OF MONTREAL,1,298,100298
"125-610 6th Street, New Westminster, BC V3L 3C2",49.2125174073561,-122.922588280832,arcgis,BANK OF MONTREAL,1,300,100300
"73 Downie St., Stratford, ON N5A 1W8",43.3697040115342,-80.9813500014047,arcgis,BANK OF MONTREAL,1,312,100312
"Owen Sound Branch, 1150 16th Street, East, P.O. Box 248, Owen Sound, ON N4K 1Z3",44.5753940123019,-80.9239405863564,arcgis,BANK OF MONTREAL,1,322,100322
"Fourth & Vansickle, 420 Vansickle Rd., Building H001, P.O. Box 520, St Catharines, ON L2S 0C7",43.1530559962397,-79.2688779808902,arcgis,BANK OF MONTREAL,1,332,100332
